lon,lat,code,type,pop_density
-97.4884746,32.7220406,DDA9,Delivery station,1103.6522157717272
-96.9812105,33.0234429,DDF1,Delivery station,849.1323448830049
-96.6077576,32.7304292,DDF2,Delivery station,4253.98840173608
-97.1446477,32.5364401,DDF4,Delivery station,232.22078904406706
-97.2792283,33.0121129,DDF5,Delivery station,1124.857582484474
-96.5961161,33.175609,DDX2,Delivery station,0.0
-96.8106551,33.2129639,DDX6,Delivery station,775.791509853628
-96.4101111,32.7346485,DDX7,Delivery station,755.1522547583961
-97.0269336,32.9517549,HDA1,Delivery station,0.0
-96.7730715,32.6387528,HDA3,Delivery station,318.5314849364953
-96.909816,32.9434771,VTX2,Same-day site,195.25997213043183
-96.8895253,32.752978,VTX3,Same-day site,1509.036273380298
-96.6617927,32.9886042,VTX8,Same-day site,2309.144617915721
-97.33,32.749,VCA1,Same-day site,8023.53273109638
-97.0170373,32.9580472,DFW6,Fulfillment center,1476.2318217275658
-97.3357107,32.9705254,DFW7,Fulfillment center,607.2188311497657
-97.0283613,32.9396905,DFW8,Fulfillment center,0.0
-97.2952151,33.0091417,FTW3,Fulfillment center,545.6980808788843
-97.3546748,32.8288536,FTW4,Fulfillment center,773.7826974507576
-97.0294277,32.8650201,DAL2,Sortation center,0.0
